year,band,employees,paid,min,P5,Q1,median,Q3,P95,max,average
2016,APS4,28458,1754,115,435,725,725,725,4027,15410,1058
2016,APS3,15669,1604,179,580,725,725,725,1265,6784,828
2016,APS2,2854,739,290,725,725,725,725,725,5191,720
2016,APS1,649,69,425,471,725,725,725,725,725,705
2016,graduate,1337,2,6859,6859,6859,8076,9292,9292,9292,8076
2015,SES3,113,8,7500,7500,15000,27493,37500,661844,661844,103666
2015,SES2,528,37,4747,5000,19209,21954,32106,214339,560093,48026
2015,SES1,1897,133,222,2500,3222,10585,14398,22409,31997,10386
2015,EL2,11335,2707,99,1339,1339,1757,5930,15047,535852,6101
2015,EL1,24782,5193,28,968,1084,1084,2159,5489,65229,1925
2015,APS6,30673,5906,16,34,868,868,1019,4189,116572,1462
2015,APS5,19835,4384,3,694,743,743,1456,1513,53299,1178
2015,APS4,29181,1898,83,346,725,725,725,3724,21213,970
2015,APS3,15493,3338,22,290,725,725,1239,1240,8578,1025
2015,APS2,3265,784,290,599,725,725,725,725,2176,715
2015,APS1,804,75,425,435,725,725,725,725,874,706
2015,graduate,1159,3,1098,1098,1098,2231,2257,2257,2257,1862
2014,SES3,109,11,20027,20027,26686,32000,40501,657140,657140,87445
2014,SES2,503,62,1250,9756,18683,22526,29163,44151,463126,36238
2014,SES1,1794,224,909,2299,7383,11000,15220,26104,41663,11579
2014,EL2,11706,3108,12,1177,1339,2000,6592,16053,463126,6226
2014,EL1,25402,4759,5,959,1084,1084,2159,6015,56671,1945
2014,APS6,30447,4866,34,741,868,868,895,4346,26060,1386
2014,APS5,19964,4233,5,725,743,743,1456,1502,10429,1097
2014,APS4,28323,1987,42,346,653,725,725,3219,9604,858
2014,APS3,15871,3034,43,564,725,725,1239,1240,7770,1013
2014,APS2,3200,812,228,580,725,725,725,725,2319,714
2014,APS1,918,89,290,471,725,725,725,725,874,700
2014,graduate,1160,6,657,657,700,1122,1240,1470,1470,1052
2013,SES3,119,16,3941,3941,22752,29157,32857,400718,400718,48771
2013,SES2,564,73,3518,4048,12000,20996,23621,36635,633216,31791
2013,SES1,1939,242,2000,3101,7615,10455,15965,23175,47391,11800
2013,EL2,13050,3259,56,2002,2279,2571,6426,15662,482069,6518
2013,EL1,28117,5057,9,1334,1844,1844,2118,5895,37054,2416
2013,APS6,32486,4680,61,1061,1478,1478,1692,4261,28400,1826
2013,APS5,21191,3828,79,856,1268,1268,1459,1632,10028,1449
2013,APS4,29656,1636,237,593,1235,1235,1235,3332,5839,1307
2013,APS3,17548,2648,75,723,1235,1235,1337,2573,4502,1318
2013,APS2,3544,841,300,867,1235,1235,1235,1235,4366,1199
2013,APS1,1164,106,494,906,1235,1235,1235,1235,1235,1185
2013,graduate,1346,0,0,0,0,0,0,0,0,0
2012,SES3,126,31,5213,5213,5213,19997,35000,41906,313283,28871
2012,SES2,579,159,1599,4065,4065,14505,21332,32708,536760,19895
2012,SES1,2022,625,1546,3219,3460,8519,14788,19718,38834,9854
2012,EL2,13146,3203,29,1888,2246,2609,7196,15205,416232,6512
2012,EL1,28355,4721,9,916,1817,1817,2096,7162,72542,2573
2012,APS6,32527,4268,9,1023,1457,1457,1597,4275,22976,1818
2012,APS5,21268,3365,117,867,1250,1250,1428,1484,12453,1415
2012,APS4,30279,1303,270,857,1235,1235,1235,3308,8000,1392
2012,APS3,18743,2397,98,549,725,725,1215,2294,5080,1021
2012,APS2,3731,851,300,948,1235,1235,1235,1235,1568,1191
2012,APS1,1197,108,329,803,1235,1235,1235,1235,1235,1179
2012,graduate,1649,0,0,0,0,0,0,0,0,0
2011,SES3,133,35,3086,3764,4655,9816,27287,33131,37887,14797
2011,SES2,557,154,1971,3764,3764,13187,19881,29819,412242,17624
2011,SES1,2005,633,211,3072,3899,8231,14836,19890,47129,9782
2011,EL2,13179,3286,22,891,1227,2412,7867,14691,397254,5822
2011,EL1,28506,4559,15,147,993,993,1976,7495,59238,2112
2011,APS6,32578,3946,27,500,796,796,796,5163,18738,1470
2011,APS5,21424,2701,2,500,681,681,681,3364,11994,1009
2011,APS4,31037,1442,89,500,665,665,665,3420,9073,974
2011,APS3,19674,1451,11,399,665,665,665,2864,9000,896
2011,APS2,4272,977,165,399,665,665,665,665,4722,666
2011,APS1,1952,139,177,432,665,665,665,1000,2337,664
2011,graduate,1655,5,972,972,972,972,972,972,972,972
