year,band,employees,paid,min,P5,Q1,median,Q3,P95,max,average
2019,SES3,123,4,148,7464.0285,19209.75,31905,42952,43873.6,45000,28716.90583
2019,SES2,553,27,5663.94,8468.3,20000,22192.39,28202.23,261283.6,759367,65990.24296
2019,SES1,2022,83,2725,2867.4,8152.225,11329,15463.935,22646.2,25447.5,11762.5988
2019,EL2,11167,1552,14,1421,1421,1563,2851,16042.53,568132,7737.74453
2019,EL1,25601,3178,11,920,1150,1150,2129.75,2337,212639,1930.405409
2019,APS6,31920,3559,27,736,922,922,922,2052.501,136715,1593.145428
2019,APS5,19915,2240,52,662.7,789,789,1271,4398.5195,57071,1470.850513
2019,APS4,26354,1152,53,455.95,733,733,733,3893.14,11909,1183.842648
2019,APS3,12024,949,74,435,725,725,725,1845.434,7998,835.0801581
2019,APS2,1858,418,309,533.05,725,725,725,725,3264,709.1961722
2019,APS1,482,39,309,471.7,725,725,725,725,1088,687.5897436
2019,graduate,1337,4,733,733,733,1366.5,2000,2000,2000,1366.5
2018,SES3,119,5,25031,25835,29053,29699,40000,501071,616339,148024
2018,SES2,543,26,11620,14062,20625,23933,30000,242917,582718,61798
2018,SES1,1952,80,2164,2948,8415,13670,15641,24912,35259,12946
2018,EL2,11351,2171,125,1407,1407,2292,6769,18184,431455,7008
2018,EL1,24830,3659,95,971,1139,1139,2292,7132,165742,2428
2018,APS6,31877,4072,15,730,912,912,923,4994,110801,1674
2018,APS5,19590,2514,51,625,781,781,1514,4342,46240,1404
2018,APS4,27101,1334,37,389,725,725,725,4359,19206,1184
2018,APS3,13684,1216,79,298,725,725,725,1316,4595,851
2018,APS2,2457,510,348,536,725,725,725,725,7357,730
2018,APS1,512,42,363,380,725,725,725,725,725,703
2018,graduate,1817,4,682,723,885,1477,2000,2000,2000,1409
2017,SES3,110,5,22033,22033,27940,29117,40000,610605,610605,145939
2017,SES2,530,29,10000,10738,20000,22613,30000,236429,556334,55044
2017,SES1,1977,116,1379,2353,2740,9314,14877,22000,33756,9953
2017,EL2,11349,2437,250,1379,1379,1810,6262,17557,514424,7149
2017,EL1,24935,4273,18,894,1116,1116,2247,7239,140644,2306
2017,APS6,32097,4665,14,620,894,894,894,5170,101926,1674
2017,APS5,20254,2939,14,653,766,766,842,3360,40285,1311
2017,APS4,28440,1606,112,551,725,725,725,4294,15071,1115
2017,APS3,15235,1436,154,499,725,725,725,1290,6009,854
2017,APS2,2481,641,290,580,725,725,725,725,5869,732
2017,APS1,562,50,425,435,725,725,725,725,725,704
2017,graduate,1357,2,2000,2000,2000,2000,2000,2000,2000,2000
2016,SES3,109,4,17120,17120,22302,30518,331354,629155,629155,176828
2016,SES2,515,34,7572,10000,18000,21825,30000,217660,539924,48240
2016,SES1,1941,97,948,1339,7594,12114,14444,25067,31255,11366
2016,EL2,11297,2436,45,1339,1339,1473,5713,15679,513907,6382
2016,EL1,24626,4393,34,1084,1084,1084,2203,6083,116370,2010
2016,APS6,32176,5003,14,674,868,868,868,4174,107865,1449
2016,APS5,20254,3147,179,725,743,743,743,1532,21964,1108
